BLA-Insc-1_C01,BLA-Insc-1_C02,BLA-Insc-1_C03,BLA-Insc-1_C04,BLA-Insc-1_C05,BLA-Insc-7_C02,BLA-Insc-7_C03,BLA-Insc-7_C04,BLA-Insc-9_C04,BLA-Insc-9_C05
1.457347877,1.7066537,1.057229425,7.401902538,0.635676276,0.907234803,3.182556908,3.4616165,-0.09062942,0.379940533
1.846438608,1.377742785,0.781409395,6.806352769,0.801086,0.884847108,3.023850551,2.938551358,0.002155367,0.294181802
1.431546015,1.680530007,0.789013454,5.983578369,0.801342504,0.499949832,3.308447192,3.275123188,-0.235697667,0.90176525
1.396791223,2.037969162,0.931221452,5.993059608,0.993820318,0.893513453,3.722692224,4.135871015,0.111204217,1.004989167
1.795961892,2.448259769,0.795589939,5.532343892,0.793000501,0.786409266,3.490178792,3.802940623,-0.039708783,0.962391983
1.059189747,1.7357066,0.683161222,5.269515115,1.263927141,0.811247662,3.18336679,3.714275379,0.348950833,0.7924717
1.805079892,1.624513485,0.686345194,5.48432568,0.743221922,0.531238069,2.946164835,3.167688369,-0.278674217,0.677259945
1.623467738,1.458982969,0.251539959,5.255879215,0.554992972,1.045895573,2.544344804,3.153801958,0.044623133,0.279016667
1.364891577,1.993438369,0.216222528,4.885888312,0.80327515,0.9970117,2.262595335,3.367334888,-0.538583367,0.719516433
1.330024238,1.439072954,0.437636859,4.722289725,0.268122346,1.081814027,1.75303851,3.025487127,0.570434633,1.237860087
1.264907406,1.695938415,0.271925174,4.760601862,0.207302615,0.912439449,1.561057873,2.256488373,0.978222167,1.724759917
2.074488412,1.46107702,0.740301523,4.503231769,0.604741258,0.711335442,1.312005323,2.055792698,-0.38087495,0.782678217
3.086281954,1.776294886,0.664620598,4.447025077,0.146060451,1.050981792,0.894327477,1.542810969,-0.435036767,0.563211083
3.7383673,1.454889615,0.456316892,4.186745469,0.414141769,1.136049808,0.819937137,1.262156508,0.249616962,0.631946543
3.973441546,1.345349273,0.56306507,4.1803863,0.673009938,0.954247487,0.981055012,1.242088693,-0.480560567,0.902561933
3.994784024,1.274105338,0.159094529,3.8259987,0.440338355,0.875208927,1.662429538,1.130583012,-0.18165835,0.682363167
3.663898862,1.5773758,0.643382754,4.130751931,0.661144178,1.059958665,1.551036381,1.410959154,0.254096348,1.49400795
3.290524779,1.46370948,0.892483385,3.941082008,0.381026746,0.489155836,1.273421765,1.384363535,-0.569375867,1.175897471
3.428761677,1.743560769,0.997578791,4.252881831,0.238501926,0.699398077,1.630179902,1.423531785,0.283461817,0.696385978
2.694971408,1.08254771,0.833458262,3.735740292,0.888263792,1.156868062,1.593754746,1.430670112,-0.50773655,1.5559156
2.496116159,1.616388262,0.399807843,4.196441085,1.079232454,0.751944647,1.396164828,1.45848734,-0.9504876,0.8492564
2.932323854,0.995789431,0.64294215,4.5453541,0.332754338,0.78769255,1.579934673,1.107635842,-0.641281007,1.2883192
2.772341177,1.327288092,0.730856256,4.359965423,0.318840266,0.452903586,1.665913981,0.984163404,0.154909817,1.416819122
2.742924454,1.240298202,0.655694038,4.274659615,0.110955538,0.552294596,1.52994027,1.076201804,-0.146805593,0.316249418
2.913658708,0.939204445,0.665140185,3.865135131,1.124500669,0.973054389,1.761424838,1.705330812,-0.500551566,0.914229283
2.985208562,1.126486549,0.495412546,3.845687315,2.623648762,0.83791075,1.523844735,1.859010012,0.073637017,1.328192083
2.913420662,1.555447269,0.62072607,4.146858892,3.008621962,0.826449208,1.324973919,2.083791835,0.309516183,1.45994615
3.297008077,0.946070032,0.194082108,4.008944723,3.442339692,0.885183046,1.441160573,2.307107308,0.226174,1.75841625
2.916726754,1.638434888,0.206117248,3.4831336,3.508937754,0.827719878,1.343754827,2.213432473,0.188785367,1.875715318
2.351687223,2.28272801,0.709296738,3.242036338,3.887707162,0.952104823,1.61225425,1.821476858,0.15380025,1.726026642
2.252880933,2.372001189,0.324477849,3.374513531,3.026950979,0.629404092,1.489637973,1.639029473,0.395255717,0.925083867
2.879246083,1.537736369,0.707367006,3.419226231,2.386041492,1.083410805,1.532679638,1.441541073,-0.23092882,1.63983785
2.334365291,2.048159546,0.592355048,3.065603108,2.188675892,0.518898081,1.221682167,1.662618258,-0.115075217,0.1554549
1.604569797,2.672749392,0.476275165,3.163945804,1.733887362,0.694497288,1.691337662,1.328805596,-0.112477017,1.035358367
2.406825038,2.747085823,0.062590845,2.741401977,1.316845438,0.416680675,1.464277,1.814680701,-0.701526417,0.269509127
2.413098169,2.536940315,0.175040131,2.510772431,1.286204615,0.586282412,1.148828958,1.609869456,-0.501946117,1.46186085
2.577542385,2.724083546,0.048921754,2.582879631,1.200701068,0.651656313,0.814568627,1.289255488,0.299631445,0.901867165
3.055137776,3.180632492,0.021104538,2.302383854,1.6512142,0.755360615,0.870714285,1.024122946,0.217053317,0.778061783
2.604143315,3.592360977,0.069748669,2.458765608,0.833433077,0.689833807,1.027903162,0.90555223,-0.192052683,1.1804945
2.696994631,3.238624818,0.698867038,3.163009092,1.205193708,0.531442727,1.008979192,0.541922981,-0.39747535,0.340126883
3.357528992,2.810951355,-0.027348872,2.554639108,1.044459718,1.065797962,1.414125812,1.043070288,0.153659868,1.395636283
2.690744366,2.663331254,0.190345825,2.819914685,0.846290085,0.818352803,1.374141942,0.873068335,-0.056997717,1.190733917
2.406215162,2.542767892,0.940905369,2.937141023,0.751372702,0.957094635,1.7861201,1.0476841,-0.74440435,1.38765085
2.071437531,2.532125022,0.707698354,2.955139569,0.383919015,0.759290362,2.041871708,1.31421013,0.19438465,0.877643054
2.407767115,2.078213985,0.397027835,3.224153115,0.5049315,0.901693035,2.221970677,1.446697242,0.734154983,0.619031917
