BLA-Insc-5_C01,BLA-Insc-5_C02,BLA-Insc-5_C03
9.970725,3.158152,24.94177
10.30885,3.403258,25.05536
10.32708,2.683183,29.04603
9.301482,2.652022,27.58067
9.474673,1.662943,27.43658
9.258777,4.010186,26.04403
9.580219,3.389744,24.71445
8.544168,1.676486,23.44496
8.823069,3.354499,22.23286
8.440526,6.579347,24.32225
6.595006,10.71467,33.21262
6.724327,13.94989,33.33049
7.685286,15.90705,37.35232
8.106208,17.53686,42.06221
7.793001,22.76944,40.68434
6.936779,22.8521,53.4042
7.2177,19.73949,61.32368
8.285117,16.03895,58.40168
7.315992,8.614625,55.61166
7.510603,10.87858,52.94764
6.638881,14.57006,50.40396
6.503304,15.87367,47.97517
6.829077,16.6535,45.65607
7.081677,14.81444,43.44172
6.562206,14.15461,41.41288
8.705453,12.76742,40.17577
7.383772,12.02402,38.24952
7.17184,13.65137,36.36581
4.661567,14.17166,34.56737
6.776112,13.70992,32.85034
6.393729,12.07498,33.00995
8.144574,10.07282,33.68376
6.085869,13.14358,32.00719
6.502428,12.48563,30.40649
7.508517,6.560832,32.10894
7.724315,8.860987,31.5956
6.654359,10.67824,30.83961
7.893243,9.647301,30.21456
5.915056,8.282907,28.9903
8.219882,5.729594,28.62201
7.139355,6.442965,27.17387
7.89936,7.622531,27.2883
7.978008,1.98168,33.25845
6.811519,5.622914,31.60146
7.282387,2.093404,30.01944
6.410125,4.209573,28.50899
6.912221,6.270644,27.06687
7.215623,6.442927,25.69001
8.031465,6.809941,24.37543
5.666138,7.963255,23.12033
4.94319,8.298106,21.92201
6.279062,8.088917,20.77791
7.847313,7.368951,23.87943
6.717858,8.390057,22.69021
5.983394,8.877906,21.51069
6.226673,3.628489,28.84016
9.189152,0.909116,27.3829
7.534414,-0.3219868,25.99158
7.464698,0.7407735,24.66322
8.930862,3.06358,23.39496
4.798172,4.61441,22.18408
4.183881,8.632226,21.028
6.897283,4.208733,19.92422
5.089878,5.793364,18.87038
5.791697,5.589142,19.91127
7.717166,5.22863,19.35108
7.327763,3.461311,19.55947
6.03825,4.875865,18.52246
7.255489,5.995833,17.53235
6.296044,6.851415,16.58703
7.454209,5.562239,16.20957
6.075506,3.984202,17.38335
6.37442,6.161965,16.44496
4.723754,6.204356,15.549
6.17178,4.584559,14.79771
5.972046,5.561178,13.97624
5.623615,3.999403,13.19192
5.451489,6.375088,12.71993
6.3019,5.19205,12.09762
6.433523,7.74254,11.39826
6.22401,7.036816,10.73053
6.213385,5.607384,12.4371
5.549958,4.554295,11.72254
7.163338,4.998998,14.24166
6.840182,5.179292,13.68781
7.279951,6.494169,20.36514
8.319705,7.857861,33.20598
8.927118,7.74165,48.74326
7.499897,11.45708,48.21826
8.046023,21.29582,45.88828
6.192223,21.9121,43.66353
6.420078,25.19681,44.17448
7.099339,27.06649,47.11448
7.647105,24.81729,53.49169
7.031078,21.2376,61.20287
8.211069,12.62338,58.63863
9.210753,11.12856,55.83829
7.48998,14.29157,53.16441
6.870152,14.74096,50.61128
5.515451,20.52317,48.17346
6.660991,16.44122,45.84572
6.248991,20.60015,43.6231
5.832666,15.48124,45.55257
7.267501,16.94921,43.34321
7.623619,14.93629,42.94897
7.822135,11.37088,49.03297
9.011454,12.16475,49.84095
9.144382,8.89837,52.35104
6.092463,9.528361,49.83431
9.475041,7.914616,52.2751
7.62516,2.613349,60.53462
8.545927,2.60601,59.85525
9.240194,1.885816,56.99573
9.12987,3.962588,54.26556
10.55779,4.583281,51.65887
9.826074,1.960864,49.19702
7.250357,3.424132,46.81948
7.684919,4.00623,44.5495
7.832994,10.21899,42.38218
6.453437,9.261705,40.64861
5.959117,6.684087,38.65627
7.118567,8.453602,36.75412
6.518126,7.668398,34.93808
7.831806,7.373326,34.05838
6.605804,6.845192,32.36448
7.537769,8.589689,30.74724
7.223677,6.128988,29.20321
8.372718,5.243612,29.83309
8.061998,7.212003,28.33067
6.888898,8.32522,26.89624
4.337442,8.050805,25.52673
6.347619,8.441093,24.2192
6.632147,8.865314,25.28067
6.889854,8.366753,27.40219
5.517078,5.77352,26.26152
6.097195,5.857304,27.56464
8.462042,8.838612,27.11621
5.486349,5.836023,25.73512
8.948576,3.543381,32.3688
7.847435,4.50059,31.64553
8.623181,1.833368,34.63
6.783408,3.143548,32.90923
7.692128,3.770029,31.26639
5.665214,5.631309,29.80521
8.751972,1.497933,29.09359
6.764495,0.7461294,27.62324
7.479401,5.348432,26.2195
6.827717,0.6715846,26.78645
8.505148,-0.09750681,26.87257
8.005823,2.664677,25.50332
6.34406,1.797318,24.30799
7.017613,4.537947,23.05439
8.221623,2.48969,22.51663
8.982309,3.514334,21.34428
6.53545,6.449231,20.22504
8.037991,5.433459,19.15649
6.080975,5.142808,18.13635
6.256759,4.542711,17.25223
6.684927,4.171196,16.85397
8.140573,1.382124,24.69718
7.483339,-0.01397082,23.42609
6.964297,3.679323,22.32251
8.05827,2.271152,23.02868
8.454484,2.015323,21.82971
4.187375,2.505584,20.74611
4.818131,4.735615,19.65059
5.491136,4.047279,18.60487
4.751099,3.42708,17.60668
5.844719,2.381702,16.65384
7.044592,4.251225,15.74431
5.540805,2.933071,14.91893
6.50994,3.987593,14.08806
5.961417,4.254419,13.29495
6.296395,5.502406,12.53789
5.943024,6.245573,11.91898
8.145254,4.243542,12.65546
6.565296,5.547833,13.38953
